id;name;description;completed;progress;jhi_order;priority;due_date
1;Officer Saudi New;vortals;false;66290;64727;LOW;2021-07-24T15:44:48
2;yellow Brazil;deploy;false;42478;55264;LOW;2021-07-23T22:13:25
3;Chicken;artificial Omani;true;6096;98177;LOW;2021-07-24T02:17:39
4;Persistent Samoa budgetary;deposit Operative Meadows;true;17447;93535;HIGH;2021-07-24T12:44:26
5;Optimization invoice payment;EXE;false;94132;18097;HIGH;2021-07-24T09:40:55
6;Avon Indiana proactive;Consultant Incredible Global;false;58671;57886;HIGH;2021-07-24T11:07:18
7;Tuna Business-focused;background;false;28568;70236;HIGH;2021-07-24T05:18:11
8;port;indexing Avon;false;91116;74000;LOW;2021-07-24T02:31:59
9;Republic complexity index;hack Clothing User-friendly;true;92460;75044;LOW;2021-07-24T08:41:08
10;JBOD intranet auxiliary;Moroccan quantifying;false;89614;98877;LOW;2021-07-23T23:53:30
